idx_epi : 0
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,D,"(9, 4)","(7, 3)",57,66,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 2)",66,65,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 1)",65,64,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(6, 1)",64,55,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(6, 0)",55,54,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(6, -1)",54,53,-100,True,ID_OUT_GRID

idx_epi : 43
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 3)",67,66,-0.01,False,ID_GENERAL_MOVE
